"#"	"Source"	"Title"	"Summary (80 words)"	"Key Point 1"	"Key Point 2"	"Key Point 3"	"Topics"	"Date"	"URL"
"1"	"Channel NewsAsia"	"South Korea nominates country's first female prime minister in two decades"	"The 58-year-old Han Seong-sook is expected to lead the country's AI transformation."	"58yearold"	"Seongsook"	"expected"	" ai "	"2026-06-07"	"https://www.channelnewsasia.com/east-asia/south-korea-han-seongsook-first-female-prime-minister-6167106"
"2"	"Tech in Asia"	"LG Uplus targets $3.2b in AI data center orders"	"LG Uplus plans to use modular construction and hybrid cooling for its Paju AI data center."	"Uplus plans"	"plans"	"modular construction"	" ai "	"2026-06-07"	"https://www.techinasia.com/google-in-talks-with-lg-uplus-for-s-korea-data-center-sources"
"3"	"Tech in Asia"	"Huggy robots? Seriously"	"In picking this week’s top reads, we look at robots - lots of robots - and the impact of the corruption trials against tech execs in Indonesia."	"picking"	"weeks"	"reads"	"robot"	"2026-06-07"	"https://www.techinasia.com/huggy-robots"
"4"	"Tech in Asia"	"Union minister Goyal launches AI training center in Mumbai"	"Six AI training centres are being set up in North Mumbai, alongside a proposed AI Innovation Hub."	"training centres"	"centres"	"North Mumbai"	" ai "	"2026-06-07"	"https://www.techinasia.com/indias-venture-catalysts-secures-18m-share-sales"
"5"	"Semiconductor Engineering"	"Accelerating Zero-Knowledge Proof Generation With Reconfigurable Hardware (KAIST)"	"Researchers from Korea Advanced Institute of Science and Technology (KAIST) have published “ZK-Flex: A Flexible and Scalable Framework for Accelerating Zero-Knowledge Proofs”. Abstract “Zero-knowledge proofs (ZKP) allows a prover to convince a verifier of computational correctness without revealing private data, ensuri"	"Researchers"	"Korea Advanced"	"Advanced Institute"	"semiconductor, technology"	"2026-06-05"	"https://semiengineering.com/accelerating-zero-knowledge-proof-generation-with-reconfigurable-hardware-kaist/"
"6"	"Electronics Weekly"	"SK Hynix to double output in five years"	"SK Hynix is to double its production capacity over the next five years, says chairman Chey Tae-won. The company has budgeted $67 billion between 2024 and 2028 to fund expansion. ... The post SK Hynix to double output in five years appeared first on Electronics Weekly ."	"Hynix"	"double"	"production capacity"	"electronics"	"2026-06-05"	"https://www.electronicsweekly.com/news/business/sk-hynix-to-double-output-in-five-years-2026-06/"
"7"	"EE Times Asia"	"HKUST Partners with CalmCar to Establish Physical AI Innovation Center"	"The center aims to build a new-generation physical AI technology foundation capable of understanding, predicting, reasoning, and decision-making. The post HKUST Partners with CalmCar to Establish Physical AI Innovation Center appeared first on EE Times Asia ."	"center aims"	"aims"	"build"	"technology,  ai "	"2026-06-04"	"https://www.eetasia.com/hkust-partners-with-calmcar-to-establish-physical-ai-innovation-center/"
"8"	"EE Times Asia"	"TWSE Highlights AI-driven Capital Growth and Semiconductor Leadership at COMPUTEX 2026"	"TWSE highlights AI-driven growth, semiconductor strength, and capital market momentum at COMPUTEX 2026. The post TWSE Highlights AI-driven Capital Growth and Semiconductor Leadership at COMPUTEX 2026 appeared first on EE Times Asia ."	"TWSE highlights"	"highlights AIdriven"	"AIdriven growth"	"semiconductor"	"2026-06-04"	"https://www.eetasia.com/twse-highlights-ai-driven-capital-growth-and-semiconductor-leadership-at-computex-2026/"
"9"	"EE Times Asia"	"MacDermid Alpha Enables Reliable Ultra-fine Feature Printing at Production Scale"	"MacDermid Alpha's ALPHA OM-377 is a no-clean solder paste engineered for ultra-fine feature printing in advanced electronics assemblies. The post MacDermid Alpha Enables Reliable Ultra-fine Feature Printing at Production Scale appeared first on EE Times Asia ."	"MacDermid Alphas"	"Alphas ALPHA"	"ALPHA OM377"	"electronics"	"2026-06-04"	"https://www.eetasia.com/macdermid-alpha-enables-reliable-ultra-fine-feature-printing-at-production-scale/"
"10"	"DigiTimes"	"Semiconductors"	"Semiconductors"	"Semiconductors"	""	""	"semiconductor"	""	"https://www.digitimes.com/topic/semiconductors/"
"11"	"DigiTimes"	"SK Hynix speeds Yongin fab buildout as memory crunch fuels capacity race"	"SK Hynix speeds Yongin fab buildout as memory crunch fuels capacity race"	"Hynix speeds"	"speeds Yongin"	"Yongin"	"fab"	""	"https://www.digitimes.com/news/a20260518VL210/sk-hynix-fab-capacity-demand-production.html"
"12"	"DigiTimes"	"AMD's 2nm defection to Samsung dents TSMC's AI grip"	"AMD's 2nm defection to Samsung dents TSMC's AI grip"	"AMDs"	"defection"	"Samsung dents"	" ai "	""	"https://www.digitimes.com/news/a20260511PD215/samsung-tsmc-amd-2nm-supply-chain.html"
"13"	"Nikkei Asia"	"Frontier AI shock: Japan's analog layer offers a resilience lesson"	"Frontier AI shock: Japan's analog layer offers a resilience lesson"	"Frontier"	"shock Japans"	"Japans analog"	" ai "	""	"https://asia.nikkei.com/opinion/frontier-ai-shock-japan-s-analog-layer-offers-a-resilience-lesson"
"14"	"Nikkei Asia"	"World Cup tests Lenovo's ambitions to challenge AI champions"	"World Cup tests Lenovo's ambitions to challenge AI champions"	"World"	"tests Lenovos"	"Lenovos ambitions"	" ai "	""	"https://asia.nikkei.com/spotlight/big-in-asia/world-cup-tests-lenovo-s-ambitions-to-challenge-ai-champions"
"15"	"Nikkei Asia"	"Hitachi and Intel team up to optimize chip production with AI"	"Hitachi and Intel team up to optimize chip production with AI"	"Hitachi"	"Intel team"	"team"	" ai , chip"	""	"https://asia.nikkei.com/business/tech/semiconductors/hitachi-and-intel-team-up-to-optimize-chip-production-with-ai2"
"16"	"KED Global"	"AI trade isn’t just about tech stocks but also power, TCW says"	"The artificial intelligence boom has sent investors racing into chipmakers, cloud providers and megacap technology stocks, but a more durable opportun"	"artificial intelligence"	"intelligence boom"	"boom"	"technology, artificial intelligence, chip"	""	"https://www.kedglobal.com/asset-management/newsView/ked202606010002"
"17"	"KED Global"	"South Korean ETF issuers in space race to ride SpaceX IPO buzz"	"South Korean asset managers are rushing to launch new exchange-traded funds tied to both established and emerging space technology companies, seeking"	"South Korean"	"Korean asset"	"asset managers"	"technology"	""	"https://www.kedglobal.com/korean-stock-market/newsView/ked202604140004"
"18"	"KED Global"	"No career ambition, no ego: AI plays devil's advocate at Audax Private Equity"	"Generative AI is challenging traditional investment theses, acting as a devil's advocate to sharpen decision-making, particularly when it comes to ass"	"Generative"	"challenging traditional"	"traditional investment"	" ai "	""	"https://www.kedglobal.com/private-equity/newsView/ked202603120002"
